"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
BD,BANGLADESH,16275,219246,16275,219246
BE,BELGIUM,48000,4581788,48000,4581788
KH,CAMBODIA,60,19973,60,19973
CN,CHINA,311500,9684389,311500,9684389
EG,EGYPT,48625,3040187,48625,3040187
HK,HONG KONG,16,96806,16,96806
IN,INDIA,345150,28204514,345150,28204514
ID,INDONESIA,286275,22266114,286275,22266114
KR,"KOREA,REPUBLIC OF",12000,993819,12000,993819
LA,LAO PDR,55,16322,55,16322
MY,MALAYSIA,45200,3817575,45200,3817575
MZ,MOZAMBIQUE,32500,749038,32500,749038
PH,PHILIPPINES,27188,3522507,27188,3522507
SA,SAUDI ARABIA,48450,3742010,48450,3742010
ZA,SOUTH AFRICA,19450,884076,19450,884076
LK,SRI LANKA,16000,379144,16000,379144
TW,"TAIWAN, PROVINCE OF CHINA",10100,663013,10100,663013
AE,UNITED ARAB EMIRATES,30000,682979,30000,682979
US,UNITED STATES,16000,973446,16000,973446
VN,VIETNAM,55585,3959601,55585,3959601
SUM,SUM,1368429,88496547,1368429,88496547
