"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'FOB (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'FOB (Baht)')"
CN,CHINA,48000,403200,138025,1027959
IN,INDIA,325,149690,325,149690
ID,INDONESIA,0,0,35000,1432465
JP,JAPAN,0,0,39000,2179906
MU,MAURITIUS,0,0,31700,1770075
MM,MYANMAR,45000,396000,45000,396000
NC,NEW CALEDONIA,0,0,27000,1487553
PH,PHILIPPINES,0,0,5000,244831
CH,SWITZERLAND,0,0,57,1900
VN,VIETNAM,0,0,161750,7702115
SUM,SUM,93325,948890,482857,16392494
