"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'FOB (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'FOB (Baht)')"
KH,CAMBODIA,0,0,49450,697600
CN,CHINA,210500,4748199,1992025,81400620
HK,HONG KONG,0,0,1,97
IN,INDIA,414,271676,3911,2539622
ID,INDONESIA,0,0,2200,103228
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,34228,1835766,533882,27550367
PH,PHILIPPINES,0,0,35201,1758654
LK,SRI LANKA,0,0,2000,81486
TW,"TAIWAN, PROVINCE OF CHINA",300,22500,300,22500
SUM,SUM,245442,6878141,2620390,114176917
