"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
AU,AUSTRALIA,405700,29041075,1158720,85789168
AT,AUSTRIA,100,44575,560,240782
BD,BANGLADESH,495000,30172650,1089500,66716679
BE,BELGIUM,50,803,811850,53628320
KH,CAMBODIA,6000,360906,48000,2330771
CN,CHINA,12798336,792711809,58137456,3597949251
CO,COLOMBIA,0,0,200,21612
ET,ETHIOPIA,0,0,149000,4333178
GA,GABON,16000,504000,16000,504000
DE,GERMANY,0,0,39650,2508093
HK,HONG KONG,221900,13677888,845890,50760412
IN,INDIA,1807375,89325328,6916443,375853392
ID,INDONESIA,350950,22929798,1797548,119183093
IE,IRELAND,0,0,875,179801
IT,ITALY,0,0,3500,157713
JP,JAPAN,2015088,112076514,11821235,683675403
KE,KENYA,0,0,45000,1505251
KR,"KOREA,REPUBLIC OF",1987630,138432008,9108611,636821677
LA,LAO PDR,24000,615500,120000,3062400
MY,MALAYSIA,159825,11419429,918350,63983439
MU,MAURITIUS,34000,890931,34000,890931
MM,MYANMAR,0,0,1250,25000
NZ,NEW ZEALAND,18000,1383622,120200,9435097
PK,PAKISTAN,0,0,68700,4108557
PH,PHILIPPINES,1637350,75551248,4118550,178576552
SG,SINGAPORE,144350,9912737,1076915,74705225
ES,SPAIN,2250,730,2250,730
LK,SRI LANKA,19800,1274791,90225,3712535
TW,"TAIWAN, PROVINCE OF CHINA",380300,24374890,2157110,135773286
TZ,TANZANIA UNITED REPUBLIC OF,51000,1680745,255000,8474438
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,79400,5910207,218825,18091472
VN,VIETNAM,557375,39779336,2266485,161213000
SUM,SUM,23211779,1402071520,103437898,6344212312
