"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'FOB (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'FOB (Baht)')"
CN,CHINA,62000,2842615,185350,9158739
HK,HONG KONG,75000,3170963,147000,6217366
IN,INDIA,0,0,600,26547
ID,INDONESIA,99200,4161008,197400,9144071
JP,JAPAN,0,0,100,2847
KR,"KOREA,REPUBLIC OF",10000,1775492,43000,6148598
PK,PAKISTAN,0,0,18000,1523167
PH,PHILIPPINES,16000,1048677,50400,3126312
TW,"TAIWAN, PROVINCE OF CHINA",3000,362922,3000,362922
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,60000,3534939,180675,10623619
SUM,SUM,325200,16896616,835325,46928245
