"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
AU,AUSTRALIA,1019280,48394475,1019280,48394475
BD,BANGLADESH,231550,9143017,231550,9143017
BE,BELGIUM,245150,14376152,245150,14376152
CN,CHINA,22856085,1105310088,22856085,1105310088
HK,HONG KONG,18800,1188149,18800,1188149
IN,INDIA,4976300,210083637,4976300,210083637
ID,INDONESIA,4802665,203724033,4802665,203724033
JP,JAPAN,6117300,311529867,6117300,311529867
KR,"KOREA,REPUBLIC OF",533100,31997480,533100,31997480
MY,MALAYSIA,1027920,46771110,1027920,46771110
MM,MYANMAR,90750,3344925,90750,3344925
NP,NEPAL,198000,7455786,198000,7455786
NZ,NEW ZEALAND,522000,25503277,522000,25503277
PK,PAKISTAN,118800,5333986,118800,5333986
PH,PHILIPPINES,1413075,57543169,1413075,57543169
SG,SINGAPORE,262650,16727089,262650,16727089
LK,SRI LANKA,173250,7480984,173250,7480984
TW,"TAIWAN, PROVINCE OF CHINA",750150,37913599,750150,37913599
US,UNITED STATES,750,54255,750,54255
VN,VIETNAM,1069450,58284617,1069450,58284617
SUM,SUM,46427025,2202159695,46427025,2202159695
