"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
AU,AUSTRALIA,30000,2395911,95000,8152713
BD,BANGLADESH,0,0,1075,101937
CN,CHINA,61600,5223900,397505,30911586
EG,EGYPT,128000,6342303,496000,26374066
FI,FINLAND,0,0,4,971
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,0,0,900,57307
IN,INDIA,215755,19179049,1200154,109661804
ID,INDONESIA,379400,26452984,1363695,105532034
IT,ITALY,1000,109331,1000,109331
JP,JAPAN,4765,634849,85727,8890060
KE,KENYA,24000,815931,24000,815931
KR,"KOREA,REPUBLIC OF",21000,1462599,38220,2789131
MG,MADAGASCAR,32275,935704,32275,935704
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,92600,5418554,499252,37535857
NZ,NEW ZEALAND,0,0,300,112411
PK,PAKISTAN,0,0,16000,1375696
PH,PHILIPPINES,384,301428,28842,4015917
SA,SAUDI ARABIA,103000,7509071,327500,23180793
SG,SINGAPORE,0,0,350,3889
ZA,SOUTH AFRICA,3000,219850,80604,5659092
LK,SRI LANKA,0,0,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",30325,3374321,162692,18541921
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,0,0,264000,16852912
US,UNITED STATES,18000,1228411,78001,5410119
VN,VIETNAM,147675,8401883,588167,34974756
SUM,SUM,1292779,90006079,5980532,447173160
