"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
BE,BELGIUM,24375,1061125,24375,1061125
KH,CAMBODIA,209400,12038761,1237650,69466864
CN,CHINA,0,0,60014,4207224
FR,FRANCE,121875,5065638,121875,5065638
IN,INDIA,188226,5023115,827931,21952985
ID,INDONESIA,0,0,93500,4906955
JP,JAPAN,750,34489,1299,65563
LA,LAO PDR,30000,1470000,48450,1660750
MY,MALAYSIA,22080,1293548,66189,3830758
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,0,0,400,21513
SUM,SUM,596706,25986676,2602083,116042277
