"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'FOB (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'FOB (Baht)')"
CN,CHINA,0,0,100,7530
HK,HONG KONG,0,0,26075,4303969
ID,INDONESIA,32025,1995436,32025,1995436
JP,JAPAN,0,0,200,342473
KR,"KOREA,REPUBLIC OF",500,95000,1770,255313
LA,LAO PDR,0,0,6,2400
MY,MALAYSIA,0,0,1000,64304
LK,SRI LANKA,0,0,16000,421726
VN,VIETNAM,77500,3922292,190500,9094828
SUM,SUM,110025,6012728,267676,16487979
