"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,212000,4846183
AU,AUSTRALIA,5000,393130,220000,6437713
BD,BANGLADESH,24750,2470594,99000,7957887
BE,BELGIUM,144000,13934337,669600,64296087
KH,CAMBODIA,420,32000,55211,8366376
CN,CHINA,281001,9976502,1387757,35943007
EG,EGYPT,0,0,75,2262
GH,GHANA,32500,623166,65000,1370865
HK,HONG KONG,50,6993,666,43651
IN,INDIA,543475,35932819,2950390,194590243
ID,INDONESIA,85200,6515362,1074805,80102825
JP,JAPAN,24200,2279999,161744,13493178
KR,"KOREA,REPUBLIC OF",0,0,12000,905563
LA,LAO PDR,10,19710,517,160133
MG,MADAGASCAR,0,0,330000,7784574
MY,MALAYSIA,37375,4240952,190070,19451678
MU,MAURITIUS,0,0,32750,826065
MX,MEXICO,0,0,16000,857680
MM,MYANMAR,0,0,27201,681831
NL,NETHERLANDS,0,0,100,6808
PK,PAKISTAN,0,0,27125,2228269
PH,PHILIPPINES,16000,956479,122322,8812451
SA,SAUDI ARABIA,72400,4316577,411325,24633673
SG,SINGAPORE,1000,244507,7050,1626179
ZA,SOUTH AFRICA,0,0,21450,359104
LK,SRI LANKA,16000,304212,16196,343068
TW,"TAIWAN, PROVINCE OF CHINA",25925,1997562,160777,14827116
TG,TOGO,0,0,16250,362079
AE,UNITED ARAB EMIRATES,0,0,120000,2701334
US,UNITED STATES,0,0,56000,2827331
VN,VIETNAM,33275,2112121,109653,8208075
SUM,SUM,1342581,86357022,8573034,515053288
