"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,110000,10290267
CN,CHINA,228850,7045629,2318965,83885255
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,48000,1913376,272150,11017777
IN,INDIA,15000,2045571,79200,5842543
ID,INDONESIA,42550,2134756,1135000,50978013
JP,JAPAN,15350,729136,109275,5506537
KR,"KOREA,REPUBLIC OF",3000,332032,17200,1875322
MX,MEXICO,25500,1270020,153000,7171457
MM,MYANMAR,0,0,610,83364
PK,PAKISTAN,1500,60923,1875,122291
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,0,0,51,497
US,UNITED STATES,0,0,700,52107
VN,VIETNAM,19300,924863,561000,23211309
SUM,SUM,399050,16456306,4937726,206634308
