"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,0,1,99
AU,AUSTRALIA,0,0,750,38047
CA,CANADA,0,0,1428,457433
CN,CHINA,1000,98681,22550,1097875
IN,INDIA,0,0,359,41112
ID,INDONESIA,27415,4406458,320769,28431808
JP,JAPAN,2,98,7935,774369
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,6775,497166,68144,2120306
PK,PAKISTAN,0,0,110,30024
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,1200,165989,3500,455932
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,80500,4141231,809000,41305927
SUM,SUM,116892,9309623,1252696,75393305
