"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'FOB (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'FOB (Baht)')"
AU,AUSTRALIA,25340,2797875,31340,3424245
CN,CHINA,24500,2069329,41200,3583629
GA,GABON,17000,488560,17000,488560
DE,GERMANY,0,1270,0,1270
IN,INDIA,32975,3892437,86550,10723824
ID,INDONESIA,58100,6177916,58500,6210205
KR,"KOREA,REPUBLIC OF",600,49225,600,49225
MY,MALAYSIA,2000,188765,2000,188765
NZ,NEW ZEALAND,23000,2336797,35000,3594506
PH,PHILIPPINES,3600,307261,3600,307261
AE,UNITED ARAB EMIRATES,25000,2281924,75000,7275251
VN,VIETNAM,20250,2556961,20450,2561804
SUM,SUM,232365,23148320,371240,38408545
