"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'FOB (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'FOB (Baht)')"
CN,CHINA,14849,2903779,50549,6279224
IN,INDIA,163353,13166674,207578,16683577
ID,INDONESIA,51000,4145957,51000,4145957
KR,"KOREA,REPUBLIC OF",0,0,15000,1065230
MY,MALAYSIA,16500,1155939,17500,1220027
NO,NORWAY,0,0,4,62
TW,"TAIWAN, PROVINCE OF CHINA",24000,1689909,24000,1689909
US,UNITED STATES,0,0,36000,3134670
VN,VIETNAM,5125,740372,5125,740372
SUM,SUM,274827,23802630,406756,34959028
