"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1055694,110000,10290267
CN,CHINA,201675,6895506,1723665,67713407
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,24000,931152,224000,9092962
IN,INDIA,2000,82254,60200,3193202
ID,INDONESIA,154725,6780358,935850,42239952
JP,JAPAN,17200,887368,78900,4094341
KR,"KOREA,REPUBLIC OF",0,0,12000,1297860
MX,MEXICO,22500,1105699,127500,5901437
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,0,0,51,497
VN,VIETNAM,16500,676860,511700,21106966
SUM,SUM,449600,18414891,3962941,171589828
