"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AR,ARGENTINA,24000,1486024,347150,24667287
AU,AUSTRALIA,22560,1616440,288500,19326294
BD,BANGLADESH,0,0,171000,6837812
BR,BRAZIL,0,0,2000,105216
KH,CAMBODIA,0,0,27100,1182139
CN,CHINA,5319802,87115880,35131350,587527648
DK,DENMARK,0,0,10000,545000
FJ,FIJI,11075,495449,28925,1231359
DE,GERMANY,0,0,13000,46597
GH,GHANA,0,0,13500,104638
HK,HONG KONG,0,0,235556,1816495
IN,INDIA,236075,6815979,1311450,36111262
ID,INDONESIA,266651,11576669,975016,41582176
IR,IRAN (ISLAMIC REPUBLIC OF),24750,1233370,24750,1233370
IT,ITALY,0,0,15,7680
JP,JAPAN,47,2163,604953,22516304
KE,KENYA,25000,194661,25000,194661
KR,"KOREA,REPUBLIC OF",55400,617087,59988,930381
LA,LAO PDR,5500,420595,49050,3158227
MY,MALAYSIA,55097,4744275,347166,32073967
MU,MAURITIUS,100,30476,1100,187017
MM,MYANMAR,15126,607562,17626,834062
NP,NEPAL,0,0,24100,3525851
NZ,NEW ZEALAND,125,19649,62280,4939823
PK,PAKISTAN,24000,1576672,131825,8328097
PH,PHILIPPINES,6290,457610,163570,8073253
PL,POLAND,0,0,104,177877
SG,SINGAPORE,2000,287561,73275,7631061
SK,SLOVAKIA,0,0,101,9731
SI,SLOVENIA,0,0,690720,21408288
ZA,SOUTH AFRICA,700,48197,24415,1858490
LK,SRI LANKA,0,0,101500,2684180
TW,"TAIWAN, PROVINCE OF CHINA",175300,8112552,785550,33008941
TR,TÜRKIYE,12000,1660782,24000,2319770
AE,UNITED ARAB EMIRATES,0,0,11350,732779
GB,UNITED KINGDOM,0,0,10,298
US,UNITED STATES,0,0,3602,1105028
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,39890,3831531,462677,38267725
SUM,SUM,6321488,132951184,42243874,916388802
