"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AU,AUSTRALIA,15060,818114,91160,5018675
BD,BANGLADESH,697000,36176092,1258000,65169776
CN,CHINA,2301000,123493826,20227000,1077398951
IN,INDIA,2292025,119938890,4667025,242553992
ID,INDONESIA,204000,10943906,438000,23424326
LA,LAO PDR,0,0,108,198857
MY,MALAYSIA,0,0,17264,951620
PK,PAKISTAN,68000,3646705,152000,8055988
PH,PHILIPPINES,0,0,85000,4530242
SG,SINGAPORE,0,0,2000,239907
LK,SRI LANKA,102000,5432287,170000,9033624
TW,"TAIWAN, PROVINCE OF CHINA",2500,256727,36500,2083285
US,UNITED STATES,19000,1015848,57000,3063122
VN,VIETNAM,115000,6223647,175000,9485627
SUM,SUM,5815585,307946042,27376057,1451207992
