"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,650,22782
BD,BANGLADESH,22500,1154815,31500,1597906
BN,BRUNEI DARUSSALAM,5000,205564,20000,851850
CN,CHINA,3200,865537,3300,911620
FR,FRANCE,48,14467,48,14467
IN,INDIA,1000,59677,2200,136551
ID,INDONESIA,537000,24694893,2298800,106338539
JP,JAPAN,200,34884,2625,172952
KR,"KOREA,REPUBLIC OF",0,0,31575,1209305
MY,MALAYSIA,0,0,8031,529025
PK,PAKISTAN,1575,164981,23775,2196553
AE,UNITED ARAB EMIRATES,0,0,100,3941
US,UNITED STATES,0,0,300,47028
VN,VIETNAM,0,0,12150,1148410
SUM,SUM,570523,27194818,2435054,115180929
