"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
AU,AUSTRALIA,48000,2367495,178160,9411903
BD,BANGLADESH,663000,29932622,2380000,116937815
KH,CAMBODIA,0,0,1320,123155
CN,CHINA,7467000,347464647,37199020,1904858723
IN,INDIA,1594000,74066499,11289025,572300538
ID,INDONESIA,72000,3577044,769000,40556285
JP,JAPAN,0,160,12000,746797
LA,LAO PDR,54,114845,179,356550
MY,MALAYSIA,19040,1078471,77424,4202883
PK,PAKISTAN,34000,1789448,288000,15171869
PG,PAPUA NEW GUINEA,0,0,100,4049
PH,PHILIPPINES,0,0,102000,5436484
SG,SINGAPORE,0,0,2000,239907
ZA,SOUTH AFRICA,18925,778659,18925,778659
LK,SRI LANKA,51000,2429211,238000,12349980
TW,"TAIWAN, PROVINCE OF CHINA",0,0,53500,2946047
US,UNITED STATES,0,0,95000,5076890
UZ,UZBEKISTAN,99000,4572098,99000,4572098
VN,VIETNAM,126000,6014516,559800,27404313
SUM,SUM,10192019,474185715,53362453,2723474945
