"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,24750,1164600
AO,ANGOLA,0,0,165000,7822747
AU,AUSTRALIA,346200,16277159,2002100,92938879
BD,BANGLADESH,267000,12435368,862750,39415276
BE,BELGIUM,375,18039,375,18039
BJ,BENIN,0,0,10500,451888
BR,BRAZIL,0,0,148000,6606614
BN,BRUNEI DARUSSALAM,0,0,10000,474774
KH,CAMBODIA,45000,2171396,709680,32396749
CM,CAMEROON,0,0,88500,4091921
CL,CHILE,54000,2495985,186750,8595548
CN,CHINA,3135320,137485669,16957760,794311110
CO,COLOMBIA,0,0,33000,1531459
CI,COTE D IVOIRE,18000,813368,150000,7161873
CZ,CZECH REPUBLIC,2750,131108,2750,131108
DJ,DJIBOUTI,126000,5918611,532000,23830810
EC,ECUADOR,0,0,36000,1641991
EG,EGYPT,18000,788532,90000,3961967
FJ,FIJI,18000,844413,75000,3466307
PF,FRENCH POLYNESIA,0,0,68100,3183354
GE,GEORGIA,0,0,16500,718248
GH,GHANA,16500,774045,174000,8268992
GN,GUINEA,33000,1548090,33000,1548090
HK,HONG KONG,232500,9755072,1968082,90637940
IN,INDIA,607300,27107579,2071450,96645603
ID,INDONESIA,961675,46218919,5016200,242800411
IL,ISRAEL,0,0,6000,337532
IT,ITALY,0,0,67,27106
JP,JAPAN,1132125,52690482,3667427,165020293
KZ,KAZAKHSTAN,51000,2410095,85000,3961469
KR,"KOREA,REPUBLIC OF",748250,33905088,2051500,93298326
LA,LAO PDR,476625,22798250,1762947,83991967
MY,MALAYSIA,552600,25542640,2060773,98191417
MU,MAURITIUS,13500,643892,82500,3980173
MZ,MOZAMBIQUE,0,0,238000,10028915
MM,MYANMAR,1132638,52127209,2389678,109476468
NC,NEW CALEDONIA,36000,1719870,75100,3500346
NZ,NEW ZEALAND,208000,9876947,693500,32620085
NG,NIGERIA,122500,5709703,209000,9556859
PK,PAKISTAN,0,0,36000,1677445
PG,PAPUA NEW GUINEA,88000,4263043,263000,12590369
PE,PERU,66000,3039611,66000,3039611
PH,PHILIPPINES,257850,12647908,2498350,119361266
PL,POLAND,0,0,54000,2279250
PT,PORTUGAL,100000,4380738,1275000,54050030
RE,REUNION,0,0,65000,3214683
RU,RUSSIAN FEDERATION,100,6553,100,6553
SG,SINGAPORE,0,0,101650,5450743
ZA,SOUTH AFRICA,0,0,120500,5890463
LK,SRI LANKA,22000,1019668,108149,5159138
SE,SWEDEN,0,0,5250,257847
TW,"TAIWAN, PROVINCE OF CHINA",1347600,61403305,4002288,189350805
TZ,TANZANIA UNITED REPUBLIC OF,0,0,17250,861706
TG,TOGO,0,0,69000,3290754
UG,UGANDA,0,0,800,38374
UA,UKRAINE,0,0,115500,4875993
AE,UNITED ARAB EMIRATES,54000,2384225,723000,31877076
US,UNITED STATES,295,201092,92995,4501940
UY,URUGUAY,14000,684298,14000,684298
VN,VIETNAM,900032,42619712,9597580,452972103
SUM,SUM,13204735,604857682,63979151,2989237701
