"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
AO,ANGOLA,33000,1623948,33000,1623948
AU,AUSTRALIA,1482220,75898269,5692220,301977419
BD,BANGLADESH,358575,19101716,1437825,77388515
BE,BELGIUM,216000,10598704,920250,47220340
BR,BRAZIL,36000,1754909,606000,33244253
BN,BRUNEI DARUSSALAM,0,0,7000,389552
KH,CAMBODIA,195000,10714116,465000,25744282
CL,CHILE,0,0,36000,1866384
CN,CHINA,35367788,1810555017,84576363,4471229088
CO,COLOMBIA,441000,22766295,507000,26324063
DJ,DJIBOUTI,72000,3600866,198000,10183926
EC,ECUADOR,348000,17703937,528000,26871518
EG,EGYPT,0,0,330000,17173460
ET,ETHIOPIA,0,0,16000,548063
FJ,FIJI,58000,3123828,163000,8905840
FR,FRANCE,216000,10837223,528000,27644226
PF,FRENCH POLYNESIA,0,0,54000,2994982
DE,GERMANY,1625,82832,1825,96567
HK,HONG KONG,716500,33869835,2710450,139848492
IN,INDIA,5562500,293482785,18330735,972216832
ID,INDONESIA,4079455,218295558,20377106,1115365904
IL,ISRAEL,0,0,17000,895561
JP,JAPAN,8189260,415750098,34783860,1773090929
KZ,KAZAKHSTAN,34000,1765808,102000,5316712
KR,"KOREA,REPUBLIC OF",1715725,91957029,5214300,286611675
KW,KUWAIT,0,0,234000,12282954
LA,LAO PDR,413900,19496873,1265300,68273288
MG,MADAGASCAR,54000,2867998,54000,2867998
MY,MALAYSIA,2183751,116224487,8468518,461410808
MU,MAURITIUS,53000,2873447,155000,8352849
MM,MYANMAR,48000,1840342,135000,6627929
NC,NEW CALEDONIA,54000,2919930,143000,7811166
NZ,NEW ZEALAND,1044230,53041917,4047690,214824782
NG,NIGERIA,0,0,108000,5642127
PK,PAKISTAN,0,0,103000,5712720
PG,PAPUA NEW GUINEA,9000,492425,72000,3936259
PE,PERU,322500,16332775,1537500,80498425
PH,PHILIPPINES,420250,22306477,2544125,138645496
PL,POLAND,0,0,6000,306601
PT,PORTUGAL,399000,20339510,2747000,141724398
RE,REUNION,16500,903935,139500,7479327
RU,RUSSIAN FEDERATION,100,6700,180,12049
SA,SAUDI ARABIA,0,0,1375,85824
SG,SINGAPORE,104500,5995253,514125,29986654
SK,SLOVAKIA,0,0,88000,4425828
SI,SLOVENIA,322500,15909532,322500,15909532
SB,SOLOMON ISLANDS,0,0,13000,704298
ES,SPAIN,0,0,414000,21902034
LK,SRI LANKA,33750,1882524,301375,16810012
CH,SWITZERLAND,0,0,400,21531
TW,"TAIWAN, PROVINCE OF CHINA",1825250,95624830,8148950,442408044
TZ,TANZANIA UNITED REPUBLIC OF,0,0,26000,1497903
TR,TÜRKIYE,0,0,24000,1407451
UA,UKRAINE,108000,5401299,144000,7239933
AE,UNITED ARAB EMIRATES,469000,23471173,2086000,109352188
US,UNITED STATES,78000,4288003,78250,4296158
VN,VIETNAM,1465775,80880539,7981065,448632621
SUM,SUM,68547654,3536582742,219537787,11645861718
