"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AU,AUSTRALIA,32000,1146315,32000,1146315
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,0,0,48000,1913371
CN,CHINA,0,0,216250,5736626
DO,DOMINICAN REPUBLIC,21700,795431,21700,795431
IN,INDIA,224,100999,492,264773
JP,JAPAN,500,20336,500,20336
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,0,0,36000,954478
NZ,NEW ZEALAND,0,0,48450,2159808
ZA,SOUTH AFRICA,107000,5589600,617200,28270220
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
SUM,SUM,161424,7652681,1250192,49505518
