"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
BD,BANGLADESH,0,0,37000,990896
BN,BRUNEI DARUSSALAM,0,0,44000,1795463
KH,CAMBODIA,0,0,5000,267947
CN,CHINA,0,0,100,104
HK,HONG KONG,0,0,2150,113858
IN,INDIA,0,0,5403,377176
ID,INDONESIA,494000,23069651,5401050,258409287
JP,JAPAN,175,38156,3717,223911
KR,"KOREA,REPUBLIC OF",0,0,196940,6821501
MY,MALAYSIA,0,0,29050,1941121
PK,PAKISTAN,4525,365562,88800,8200115
SG,SINGAPORE,0,0,50,1748
ZA,SOUTH AFRICA,0,0,14,100
SE,SWEDEN,0,74,0,74
TW,"TAIWAN, PROVINCE OF CHINA",0,0,926,74977
US,UNITED STATES,0,0,1992,288543
VN,VIETNAM,850,82050,251850,10015347
SUM,SUM,499550,23555493,6068042,289522168
