"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AR,ARGENTINA,25000,685180,25000,685180
AU,AUSTRALIA,1202900,41725245,1202900,41725245
BD,BANGLADESH,430000,14214095,430000,14214095
KH,CAMBODIA,1216335,46079440,1216335,46079440
CA,CANADA,192000,6559705,192000,6559705
CN,CHINA,13265810,434927571,13265810,434927571
DJ,DJIBOUTI,525000,14894628,525000,14894628
EC,ECUADOR,50000,1511164,50000,1511164
FJ,FIJI,35000,1001482,35000,1001482
FR,FRANCE,43770,1730393,43770,1730393
PF,FRENCH POLYNESIA,40500,1500881,40500,1500881
DE,GERMANY,257625,9829173,257625,9829173
GH,GHANA,70000,2065556,70000,2065556
IN,INDIA,736475,26246484,736475,26246484
ID,INDONESIA,8775925,274257553,8775925,274257553
IL,ISRAEL,650175,20811094,650175,20811094
JP,JAPAN,2211400,70118049,2211400,70118049
KZ,KAZAKHSTAN,105000,2894401,105000,2894401
KE,KENYA,35000,1168395,35000,1168395
KR,"KOREA,REPUBLIC OF",54200,2937660,54200,2937660
LA,LAO PDR,75500,2384285,75500,2384285
MG,MADAGASCAR,76000,3068763,76000,3068763
MY,MALAYSIA,3509250,114955959,3509250,114955959
MU,MAURITIUS,210700,8627897,210700,8627897
MZ,MOZAMBIQUE,35000,1105803,35000,1105803
MM,MYANMAR,497500,17378806,497500,17378806
NL,NETHERLANDS,22000,902341,22000,902341
NC,NEW CALEDONIA,38500,1365860,38500,1365860
NZ,NEW ZEALAND,613500,22941269,613500,22941269
NG,NIGERIA,119000,2447371,119000,2447371
PK,PAKISTAN,117775,4192771,117775,4192771
PG,PAPUA NEW GUINEA,75000,3117410,75000,3117410
PH,PHILIPPINES,1019000,32103845,1019000,32103845
QA,QATAR,227600,6944852,227600,6944852
RE,REUNION,35500,1320562,35500,1320562
SG,SINGAPORE,49500,1723264,49500,1723264
LK,SRI LANKA,277500,8075198,277500,8075198
SE,SWEDEN,24000,913763,24000,913763
TW,"TAIWAN, PROVINCE OF CHINA",73000,3200538,73000,3200538
TZ,TANZANIA UNITED REPUBLIC OF,28400,1203745,28400,1203745
TR,TÜRKIYE,13150,558784,13150,558784
UA,UKRAINE,104000,3215233,104000,3215233
AE,UNITED ARAB EMIRATES,154500,4495134,154500,4495134
VN,VIETNAM,6290325,207605747,6290325,207605747
SUM,SUM,43608315,1429007349,43608315,1429007349
