"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
AU,AUSTRALIA,766750,27917726,2641650,100556517
BD,BANGLADESH,661000,22092974,1103100,37037856
KH,CAMBODIA,907050,35736355,2104800,83306094
CA,CANADA,72000,2739489,263375,10371585
CN,CHINA,41452635,1434620390,129534530,4545040066
CI,COTE D IVOIRE,28000,1035660,84000,3211391
DJ,DJIBOUTI,527950,17570138,1161450,40879755
FJ,FIJI,18000,584646,38200,1510724
FR,FRANCE,44000,2058141,44000,2058141
PF,FRENCH POLYNESIA,13500,588823,85500,3573195
DE,GERMANY,262000,11392795,811800,36014570
GH,GHANA,297500,9573595,297500,9573595
GT,GUATEMALA,50250,1880003,50250,1880003
IN,INDIA,301000,12068066,640450,26230884
ID,INDONESIA,4632100,152186201,13275125,457197252
IE,IRELAND,0,0,140000,5181828
IL,ISRAEL,753700,29418920,2394425,92963620
JP,JAPAN,1969830,67426570,5983205,212193333
KZ,KAZAKHSTAN,68000,2292806,204000,7165046
KE,KENYA,102000,4636189,204000,9399586
KR,"KOREA,REPUBLIC OF",18500,1935214,43100,4601187
LA,LAO PDR,128000,4204999,444000,14881572
LY,LIBYAN ARAB JAMAHIRIYA,0,0,14200,712298
LT,LITHUANIA,25500,1407017,25500,1407017
MG,MADAGASCAR,27700,1303820,53200,2404593
MY,MALAYSIA,2424800,83410345,7845250,282015693
MV,MALDIVES,0,0,329,62279
ML,MALI,54000,2255067,54000,2255067
MU,MAURITIUS,41200,1737664,204925,9874364
MZ,MOZAMBIQUE,13950,714383,13950,714383
MM,MYANMAR,295075,10369557,1133075,39649306
NL,NETHERLANDS,70000,2906794,160000,7127793
NC,NEW CALEDONIA,14000,532678,14000,532678
NZ,NEW ZEALAND,712850,27254867,1956550,75240418
NG,NIGERIA,714000,15460662,1496000,33011654
PK,PAKISTAN,2775,127325,39175,1915635
PG,PAPUA NEW GUINEA,39000,1274623,67400,2814143
PH,PHILIPPINES,267000,9251094,607500,21577795
PL,POLAND,0,0,161500,6326292
RE,REUNION,0,0,68200,3210286
RU,RUSSIAN FEDERATION,0,0,316000,11793844
SN,SENEGAL,0,0,164800,7164401
SG,SINGAPORE,74250,2602019,74250,2602019
SO,SOMALIA,49400,1976485,49400,1976485
ZA,SOUTH AFRICA,51000,1703828,166500,5791977
LK,SRI LANKA,40000,1376597,89500,3193048
SE,SWEDEN,70000,3265297,117925,5633119
TW,"TAIWAN, PROVINCE OF CHINA",12100,856987,160300,7659022
TR,TÜRKIYE,25975,1235549,54150,2641034
UA,UKRAINE,65600,2708815,620500,24284619
AE,UNITED ARAB EMIRATES,420000,14863398,1001050,37556642
GB,UNITED KINGDOM,0,0,35000,1256714
VN,VIETNAM,5268450,173988313,18053475,597463111
SUM,SUM,63852390,2204542884,196366064,6904695529
