"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,150,164100
CN,CHINA,20200,1169217,277200,10212967
IN,INDIA,414,264720,1656,1056200
LA,LAO PDR,0,0,343,21275
MY,MALAYSIA,32334,1692578,222838,11691594
TW,"TAIWAN, PROVINCE OF CHINA",1200,59993,7700,470653
AE,UNITED ARAB EMIRATES,0,0,49500,1867388
SUM,SUM,54148,3186508,559387,25484177
