"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,32000,4570966,54000,7750950
BD,BANGLADESH,1000,54553,1000,54553
CN,CHINA,1489520,34499290,2932221,66866565
ID,INDONESIA,0,0,6975,512052
JP,JAPAN,144000,5799152,720810,29796353
KR,"KOREA,REPUBLIC OF",100,5696,100,5696
LA,LAO PDR,9725,412625,23725,1012571
MY,MALAYSIA,500,82096,1500,142343
PK,PAKISTAN,0,0,200,73321
VN,VIETNAM,0,0,2200,199804
SUM,SUM,1676845,45424378,3742731,106414208
