"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'FOB (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'FOB (Baht)')"
AU,AUSTRALIA,26640,2863954,92280,10969286
BD,BANGLADESH,0,0,85000,2598611
CN,CHINA,85500,6604892,877967,80948999
ET,ETHIOPIA,0,0,254000,7133537
GA,GABON,0,0,34000,959065
DE,GERMANY,0,0,0,1270
HK,HONG KONG,50,97608,50,97608
IN,INDIA,148475,12734650,400575,41225557
ID,INDONESIA,18725,1653542,466275,40927267
JP,JAPAN,0,0,54,3157
KR,"KOREA,REPUBLIC OF",200,12289,439650,32558328
MY,MALAYSIA,7825,585301,204315,19120104
NZ,NEW ZEALAND,11000,1364294,75500,7956816
PK,PAKISTAN,0,0,200,30695
PH,PHILIPPINES,0,0,19480,1899169
SG,SINGAPORE,4308,250194,24908,2798823
LK,SRI LANKA,3300,230982,5500,381066
TW,"TAIWAN, PROVINCE OF CHINA",12000,1412385,53150,4605391
AE,UNITED ARAB EMIRATES,0,0,180900,18182495
US,UNITED STATES,0,0,80000,6415801
VN,VIETNAM,2000,150080,120265,14300380
SUM,SUM,320023,27960171,3414069,293113425
