"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AO,ANGOLA,0,0,132000,5178741
AU,AUSTRALIA,756110,38196515,3385415,161353244
BD,BANGLADESH,1329450,69272496,11188000,480957688
BR,BRAZIL,127500,7157663,204750,11157975
KH,CAMBODIA,525000,26448180,1924025,88448063
CN,CHINA,9186350,407700220,33617009,1421592336
CI,COTE D IVOIRE,0,0,51000,2338967
DJ,DJIBOUTI,0,0,437500,19917814
EC,ECUADOR,0,0,24000,1216827
EG,EGYPT,0,0,96000,5391405
FJ,FIJI,0,0,16500,696058
PF,FRENCH POLYNESIA,30000,1316799,30000,1316799
GA,GABON,0,0,194400,3500754
DE,GERMANY,0,0,3750,13528
GH,GHANA,0,0,17000,805964
GY,GUYANA,0,0,24000,1058469
HK,HONG KONG,466000,23209138,2839510,120633396
IN,INDIA,3129000,139949854,7618900,340301798
ID,INDONESIA,16452475,800527976,48050125,2206889632
IL,ISRAEL,0,0,280500,13438946
IT,ITALY,0,0,51000,3298883
JP,JAPAN,1765095,93145367,4740576,234766599
KE,KENYA,0,0,135000,6067212
KR,"KOREA,REPUBLIC OF",92750,2779025,121500,4153269
LA,LAO PDR,0,0,165000,7298022
LU,LUXEMBOURG,0,0,400,33716
MY,MALAYSIA,1255540,60967377,5158525,233491519
MU,MAURITIUS,44000,2380179,219000,11117861
MX,MEXICO,36000,1772891,36000,1772891
MZ,MOZAMBIQUE,165000,8092827,165000,8092827
MM,MYANMAR,1860750,90793340,6954399,312513298
NZ,NEW ZEALAND,61500,3249925,348310,16679558
NG,NIGERIA,0,0,221000,8722212
OM,OMAN,0,0,26000,1362120
PK,PAKISTAN,35000,2174626,1982625,83876596
PE,PERU,0,0,408000,18138888
PH,PHILIPPINES,1777800,85127345,5904468,265701753
PT,PORTUGAL,0,0,55500,2267419
QA,QATAR,76500,3877719,477500,22457418
SG,SINGAPORE,76500,4085608,289000,14472381
ZA,SOUTH AFRICA,18700,1213739,190900,12754966
ES,SPAIN,0,0,25,1414
LK,SRI LANKA,34000,1879975,344500,16047604
TW,"TAIWAN, PROVINCE OF CHINA",750,41000,192250,10778772
TZ,TANZANIA UNITED REPUBLIC OF,0,0,75000,3553460
TR,TÜRKIYE,29084,2056709,242491,13036056
AE,UNITED ARAB EMIRATES,144000,7414540,168000,8615837
US,UNITED STATES,53000,2790610,172200,9784107
UY,URUGUAY,0,0,27000,1085953
VN,VIETNAM,2206241,107759426,15149316,640733686
SUM,SUM,41734095,1995381069,154154869,6858884701
