"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
AU,AUSTRALIA,381760,18589021,5075650,277423030
BD,BANGLADESH,0,0,1322500,66692637
BE,BELGIUM,0,0,1179000,76581529
KH,CAMBODIA,0,0,34300,2236754
CN,CHINA,34363620,2701821559,378552077,26108789923
FJ,FIJI,5000,231724,75000,3767919
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,0,0,181300,18507373
IN,INDIA,1706700,113718855,20057860,1358403628
ID,INDONESIA,6864150,298642798,56396955,2825902561
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,198000,11769396
JP,JAPAN,7884550,493965390,60013525,3472198759
KZ,KAZAKHSTAN,31000,1326176,110000,5481440
KR,"KOREA,REPUBLIC OF",396000,37438685,5097300,427350027
MY,MALAYSIA,565600,27792359,9133895,479265863
MM,MYANMAR,312000,13372563,2176450,100769235
NZ,NEW ZEALAND,257270,13225801,2342500,130303541
PK,PAKISTAN,76500,3806127,694650,42390324
PH,PHILIPPINES,1197500,51407271,9778175,473806808
PT,PORTUGAL,0,0,492000,25973162
RE,REUNION,0,0,4500,234755
RU,RUSSIAN FEDERATION,80500,3283356,576500,29551216
SG,SINGAPORE,108000,4329653,1776125,137857403
ZA,SOUTH AFRICA,0,0,33000,1527578
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,98775,4267469,449775,21705850
TW,"TAIWAN, PROVINCE OF CHINA",480000,21040729,6315100,347685616
TR,TÜRKIYE,432000,16170795,1449500,60919567
AE,UNITED ARAB EMIRATES,0,0,1000,48897
US,UNITED STATES,79206,8675728,380815,38758992
VN,VIETNAM,928800,49664532,12841040,831433392
SUM,SUM,56248931,3882770591,576837542,37382534015
