"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'FOB (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,55,1844
KH,CAMBODIA,0,0,59873,3130110
CN,CHINA,0,0,52000,1395254
FJ,FIJI,0,0,74,310797
DE,GERMANY,0,0,2040,17826
IN,INDIA,0,0,288000,8867268
ID,INDONESIA,0,0,1,2066
IT,ITALY,0,0,74,10114
JP,JAPAN,0,0,1,3066
LA,LAO PDR,38010,2935143,70001,4864303
MY,MALAYSIA,0,0,23188,347848
MM,MYANMAR,0,0,144,21690
NG,NIGERIA,15000,850579,15000,850579
SG,SINGAPORE,0,0,25,309
CH,SWITZERLAND,0,0,25,331
AE,UNITED ARAB EMIRATES,0,0,74,10114
VN,VIETNAM,500,19474,500,19474
SUM,SUM,53510,3805196,511075,19852993
