"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1428866,15000,1428866
CN,CHINA,46540,4279324,46540,4279324
EG,EGYPT,144000,8690610,144000,8690610
GH,GHANA,48750,1180053,48750,1180053
IN,INDIA,121110,12765288,121110,12765288
ID,INDONESIA,198680,17504938,198680,17504938
JP,JAPAN,1055,71205,1055,71205
KR,"KOREA,REPUBLIC OF",12220,874760,12220,874760
MY,MALAYSIA,165251,10365977,165251,10365977
PK,PAKISTAN,2000,265637,2000,265637
PH,PHILIPPINES,90,110441,90,110441
ZA,SOUTH AFRICA,16904,762314,16904,762314
TW,"TAIWAN, PROVINCE OF CHINA",502,49387,502,49387
TR,TÜRKIYE,19,174731,19,174731
AE,UNITED ARAB EMIRATES,30000,870707,30000,870707
US,UNITED STATES,0,35,0,35
VN,VIETNAM,104914,5977445,104914,5977445
SUM,SUM,907035,65371718,907035,65371718
