"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41000,1732366
CN,CHINA,88425,3465064,671395,19304984
IN,INDIA,17300,712087,99525,10455887
ID,INDONESIA,27700,1168953,356900,17116884
JP,JAPAN,0,0,30000,1322777
KR,"KOREA,REPUBLIC OF",5000,531861,9000,953514
MX,MEXICO,0,0,76500,3455882
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,4200,260543,30627,1510477
SUM,SUM,142625,6138508,1350072,56887518
