"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
CN,CHINA,57000,2518906,1392822,85646474
HK,HONG KONG,2525,157933,273100,11955526
IN,INDIA,0,0,16600,827954
ID,INDONESIA,128150,5402350,878950,40965170
JP,JAPAN,0,0,200,7220
KR,"KOREA,REPUBLIC OF",5000,1040971,136000,20275771
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,0,0,80100,7288061
PH,PHILIPPINES,24000,1437030,193400,12518633
SG,SINGAPORE,0,0,5500,929085
TW,"TAIWAN, PROVINCE OF CHINA",0,0,29060,4091702
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,24000,1431414,510050,32006851
SUM,SUM,240675,11988604,3540582,217886504
