"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
CN,CHINA,16000,893067,89000,3638345
HK,HONG KONG,0,0,6725,387570
IN,INDIA,0,0,5150,397815
ID,INDONESIA,28950,4505572,118325,16409229
JP,JAPAN,975,77267,1325,119596
LA,LAO PDR,14500,661000,145000,6574000
PK,PAKISTAN,75,4064,4175,234491
PH,PHILIPPINES,23000,1301889,98000,5227303
VN,VIETNAM,10000,517475,204000,9696902
SUM,SUM,93500,7960334,671700,42685251
