"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
AU,AUSTRALIA,138150,10729499,879690,69297824
AT,AUSTRIA,0,0,100,107008
BD,BANGLADESH,0,0,108340,7355174
BE,BELGIUM,79200,4915460,574200,36659518
KH,CAMBODIA,0,0,10000,502692
CN,CHINA,6038646,355537050,64633970,4100678158
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,0,0,30500,1393865
DE,GERMANY,19800,1226622,199900,13771373
GH,GHANA,0,0,31000,775000
HK,HONG KONG,120400,8148218,708241,39714133
IN,INDIA,1322625,60460391,10582699,527500558
ID,INDONESIA,434700,28730623,2856495,196680862
JP,JAPAN,2901450,179713697,18345004,1136421387
KR,"KOREA,REPUBLIC OF",730070,51159524,5342535,383817579
LA,LAO PDR,0,0,43925,1676759
MY,MALAYSIA,251460,19456528,1089275,84060920
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,23000,254367,28036,852305
NP,NEPAL,39600,2615260,59400,3933137
NL,NETHERLANDS,0,0,0,177
NZ,NEW ZEALAND,52175,3905499,183900,14410282
PK,PAKISTAN,0,0,240,71825
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,19800,1439071,179300,12102245
SA,SAUDI ARABIA,0,0,34200,3153917
SG,SINGAPORE,341775,23513676,1519941,105959876
ZA,SOUTH AFRICA,0,0,8600,1779677
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,19800,1393020,116700,6781077
CH,SWITZERLAND,0,0,200,26662
TW,"TAIWAN, PROVINCE OF CHINA",391622,23959724,2766568,174494409
TR,TÜRKIYE,0,0,11000,884064
US,UNITED STATES,0,174,121424,8310543
VN,VIETNAM,649075,50115123,4010417,303947028
SUM,SUM,13573348,827273526,114526250,7238528364
