"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
CN,CHINA,68000,2756315,1460822,88402789
HK,HONG KONG,24000,972817,297100,12928343
IN,INDIA,0,0,16600,827954
ID,INDONESIA,73800,3332277,952750,44297447
JP,JAPAN,1525,177909,1725,185129
KR,"KOREA,REPUBLIC OF",5000,980931,141000,21256702
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,0,0,80100,7288061
PH,PHILIPPINES,28000,1648929,221400,14167562
SG,SINGAPORE,0,0,5500,929085
TW,"TAIWAN, PROVINCE OF CHINA",875,92363,29935,4184065
US,UNITED STATES,9800,541050,19600,1135107
VN,VIETNAM,96500,5219898,606550,37226749
SUM,SUM,307500,15722489,3848082,233608993
