"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
AU,AUSTRALIA,15000,763585,186000,9246567
BD,BANGLADESH,102000,5136783,1292000,63781424
KH,CAMBODIA,0,0,1320,132605
CN,CHINA,7088000,363243044,79974875,4054324969
DO,DOMINICAN REPUBLIC,0,0,26300,1005657
IN,INDIA,323000,16602324,24188075,1219977796
ID,INDONESIA,35200,1780248,1376325,68962328
JP,JAPAN,0,0,12010,717738
LA,LAO PDR,23,53860,357,600464
MY,MALAYSIA,23975,1813423,100697,6472028
MU,MAURITIUS,0,0,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,0,0,215500,10969848
PH,PHILIPPINES,7,687,66082,3664301
SA,SAUDI ARABIA,24000,1268172,48000,2482485
SC,SEYCHELLES,0,0,970,24375
SG,SINGAPORE,400,18164,33800,1799721
LK,SRI LANKA,0,0,153000,7653872
TW,"TAIWAN, PROVINCE OF CHINA",17000,883600,89025,5187980
US,UNITED STATES,0,0,190000,9592389
VN,VIETNAM,246000,12595713,1435646,72304486
SUM,SUM,7874605,404159603,109446482,5540273985
