"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AO,ANGOLA,17600,785760,53100,2145157
AU,AUSTRALIA,1134550,46811050,3447400,140408404
BD,BANGLADESH,571500,22796851,1202500,47776972
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,521150,23722747,1582175,74083133
CM,CAMEROON,35000,1341916,35000,1341916
CA,CANADA,118000,5505565,617750,30084399
CL,CHILE,50,18785,50,18785
CN,CHINA,19809465,812073678,53878410,2230430595
CI,COTE D IVOIRE,262500,10015275,546000,21303054
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,280000,10898975,455000,18122034
FJ,FIJI,56800,2943234,279200,13317879
FI,FINLAND,48000,2208469,48000,2208469
FR,FRANCE,154000,7430994,154000,7430994
PF,FRENCH POLYNESIA,13500,639631,45000,2015166
GA,GABON,13500,657554,13500,657554
DE,GERMANY,364000,17865251,1017825,49462008
GH,GHANA,35000,1331006,869000,33374668
IN,INDIA,736450,30565383,1431575,63299673
ID,INDONESIA,3502000,141697818,9874900,399125016
IL,ISRAEL,1871000,76378615,4152625,175060543
JP,JAPAN,1870350,75685634,5509300,220804435
KZ,KAZAKHSTAN,0,0,99500,4111014
KE,KENYA,0,0,85175,4355805
KR,"KOREA,REPUBLIC OF",20000,2118450,49025,5238239
LA,LAO PDR,140000,5066742,347597,12479910
LV,LATVIA,16500,698653,16500,698653
MG,MADAGASCAR,27500,1298182,81500,3872863
MY,MALAYSIA,2865500,119030439,7071250,289873087
ML,MALI,108000,5117048,162000,7693802
MU,MAURITIUS,42600,1875674,200875,9697914
MX,MEXICO,0,0,6400,827208
MZ,MOZAMBIQUE,0,0,84150,3657773
MM,MYANMAR,234000,9881593,534800,22895324
NP,NEPAL,49500,1870977,49500,1870977
NL,NETHERLANDS,22000,1041921,158000,7622405
NC,NEW CALEDONIA,0,0,48750,2022810
NZ,NEW ZEALAND,337250,14513393,1630125,72596198
PK,PAKISTAN,56525,2573617,60525,3002635
PG,PAPUA NEW GUINEA,87300,4238148,133200,6465448
PH,PHILIPPINES,444525,18071475,2209425,88834715
PL,POLAND,45000,2119040,115000,5226337
PT,PORTUGAL,150000,5938094,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,50975,2546859,119525,5816786
RU,RUSSIAN FEDERATION,173000,7178705,849750,37421369
WS,SAMOA,0,0,26000,1385511
SN,SENEGAL,119500,4656962,261400,10755250
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,24750,1052664,189000,7805960
SI,SLOVENIA,198000,7917693,198000,7917693
ZA,SOUTH AFRICA,553500,23349274,2213500,90920849
LK,SRI LANKA,292500,11816182,498000,19911496
SE,SWEDEN,48000,2417144,106150,5382625
SY,SYRIAN ARAB REPUBLIC,0,0,102000,4488318
TW,"TAIWAN, PROVINCE OF CHINA",24050,2142203,99575,6548774
TG,TOGO,455000,17604596,805000,30545347
TR,TÜRKIYE,24000,1150475,104800,5275674
UA,UKRAINE,155500,6241328,342500,14260081
AE,UNITED ARAB EMIRATES,323500,13085932,751550,31691917
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,3200,135657,6400,275889
VN,VIETNAM,2935850,119251162,11816600,469527713
SUM,SUM,41441940,1707374473,117515057,4862298389
