"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3,11389
HK,HONG KONG,0,0,342,11760
ID,INDONESIA,30000,1551514,115400,6053265
JP,JAPAN,180,3600,180,3600
LA,LAO PDR,0,0,14501,709001
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,0,0,50,2500
PK,PAKISTAN,8800,466615,37000,1961676
PH,PHILIPPINES,0,0,19325,1113969
SG,SINGAPORE,0,0,21,593
TW,"TAIWAN, PROVINCE OF CHINA",10000,572538,19000,1094439
US,UNITED STATES,0,0,26,862
VN,VIETNAM,156,1500,156,1500
SUM,SUM,49136,2595767,219004,11504054
