"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
CN,CHINA,11950,826435,104625,10739102
HK,HONG KONG,0,0,7000,431863
IN,INDIA,12000,1279955,38500,4007085
ID,INDONESIA,26000,3775946,192450,27292399
JP,JAPAN,6250,535060,20072,1689944
KR,"KOREA,REPUBLIC OF",3000,499005,303400,29193612
LA,LAO PDR,20549,979175,163103,7695025
PK,PAKISTAN,1500,131648,12000,1052440
PH,PHILIPPINES,18000,1064457,135300,7838022
ZA,SOUTH AFRICA,0,0,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12600,1459033
US,UNITED STATES,0,0,30500,1748181
VN,VIETNAM,20000,1103522,476000,25843695
SUM,SUM,119249,10195203,1534750,121834173
