"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,91160,5018675
BD,BANGLADESH,51000,2683431,1309000,67853207
CN,CHINA,4099020,218463479,24326020,1295862430
IN,INDIA,2396000,124319173,7063025,366873165
ID,INDONESIA,138000,7175137,576000,30599463
JP,JAPAN,12000,746637,12000,746637
LA,LAO PDR,7,18366,115,217223
MY,MALAYSIA,41100,2171335,58364,3122955
PK,PAKISTAN,85000,4475112,237000,12531100
PH,PHILIPPINES,17000,906242,102000,5436484
SG,SINGAPORE,0,0,2000,239907
LK,SRI LANKA,17000,887145,187000,9920769
TW,"TAIWAN, PROVINCE OF CHINA",17000,862762,53500,2946047
US,UNITED STATES,0,0,57000,3063122
VN,VIETNAM,117800,4870004,292800,14355631
SUM,SUM,6990927,367578823,34366984,1818786815
