"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
IN,INDIA,0,0,200,5960
ID,INDONESIA,74107,5295053,883775,60963910
JP,JAPAN,200,27278,14455,1115023
KR,"KOREA,REPUBLIC OF",0,0,1200,97368
MY,MALAYSIA,29750,2068251,366700,24364155
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,55000,4879431,123800,10430677
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3850,239737
US,UNITED STATES,0,0,4,118
VN,VIETNAM,600,149552,2200,581027
SUM,SUM,159657,12419565,1411937,98792493
