"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'FOB (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'FOB (Baht)')"
AR,ARGENTINA,250,95509,250,95509
AU,AUSTRALIA,886460,40244076,886460,40244076
BD,BANGLADESH,750750,33154948,750750,33154948
BR,BRAZIL,324000,25244932,324000,25244932
KH,CAMBODIA,43000,1821703,43000,1821703
CN,CHINA,7606275,332793932,7606275,332793932
FJ,FIJI,17250,692812,17250,692812
DE,GERMANY,25,1250,25,1250
GT,GUATEMALA,119000,5839052,119000,5839052
HK,HONG KONG,78250,3152862,78250,3152862
IN,INDIA,1403250,62630903,1403250,62630903
ID,INDONESIA,1919633,99825155,1919633,99825155
JP,JAPAN,5888590,240052517,5888590,240052517
KR,"KOREA,REPUBLIC OF",127900,4293625,127900,4293625
LA,LAO PDR,14,4311,14,4311
MY,MALAYSIA,608290,34046671,608290,34046671
MU,MAURITIUS,83500,3892355,83500,3892355
MM,MYANMAR,90250,3691172,90250,3691172
NZ,NEW ZEALAND,73000,3370015,73000,3370015
PK,PAKISTAN,233100,15850066,233100,15850066
PH,PHILIPPINES,547198,27625216,547198,27625216
ZA,SOUTH AFRICA,421750,31464167,421750,31464167
LK,SRI LANKA,121500,5811043,121500,5811043
TW,"TAIWAN, PROVINCE OF CHINA",122325,6386182,122325,6386182
TR,TÜRKIYE,102000,5159380,102000,5159380
AE,UNITED ARAB EMIRATES,16000,1308216,16000,1308216
US,UNITED STATES,61000,2951820,61000,2951820
VN,VIETNAM,1110625,52208492,1110625,52208492
SUM,SUM,22755185,1043612382,22755185,1043612382
