"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
AU,AUSTRALIA,38,27000,38,27000
BD,BANGLADESH,0,0,48750,1336315
BN,BRUNEI DARUSSALAM,10000,482884,30000,1506546
CN,CHINA,54000,397465,54000,397465
IT,ITALY,0,0,150,10420
JP,JAPAN,0,0,488,145701
MX,MEXICO,0,0,24000,2166576
PG,PAPUA NEW GUINEA,0,0,19,6573
TR,TÜRKIYE,0,0,30000,2516004
US,UNITED STATES,13200,1204760,76800,7460239
VN,VIETNAM,38925,2478830,304950,19627170
SUM,SUM,116163,4590939,569195,35200009
