"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
AU,AUSTRALIA,75,9200,90,19269
KH,CAMBODIA,0,0,10672,167523
CN,CHINA,78000,846330,104577,1500075
DE,GERMANY,1,8438,1,8438
IN,INDIA,176000,7814137,746000,31826166
ID,INDONESIA,0,1218,376,683247
IE,IRELAND,0,0,7,13185
IT,ITALY,38,5057,76,10114
JP,JAPAN,4,481,303,40941
KR,"KOREA,REPUBLIC OF",7040,231343,7040,231343
LA,LAO PDR,0,0,1300,140923
MY,MALAYSIA,0,0,41,1392
MM,MYANMAR,0,0,2000,50000
NO,NORWAY,0,0,77,10146
SG,SINGAPORE,2000,130538,4000,254826
LK,SRI LANKA,0,0,24750,1032637
SE,SWEDEN,0,0,0,4
CH,SWITZERLAND,0,0,75,10114
TW,"TAIWAN, PROVINCE OF CHINA",0,0,224,30342
VN,VIETNAM,1000,88085,1300,303305
SUM,SUM,264158,9134827,902909,36333990
