"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AR,ARGENTINA,30000,2180049,30000,2180049
AU,AUSTRALIA,42780,3338153,42780,3338153
KH,CAMBODIA,26000,1565124,26000,1565124
CN,CHINA,5976815,75346062,5976815,75346062
DE,GERMANY,250,79516,250,79516
IN,INDIA,245375,9780723,245375,9780723
ID,INDONESIA,8627,882453,8627,882453
JP,JAPAN,145267,9157363,145267,9157363
KR,"KOREA,REPUBLIC OF",900,24062,900,24062
LA,LAO PDR,6500,536792,6500,536792
MY,MALAYSIA,58245,5456684,58245,5456684
NZ,NEW ZEALAND,25,22924,25,22924
PH,PHILIPPINES,3000,509015,3000,509015
SG,SINGAPORE,14214,1751296,14214,1751296
SI,SLOVENIA,92110,3189033,92110,3189033
TW,"TAIWAN, PROVINCE OF CHINA",78425,3531667,78425,3531667
TR,TÜRKIYE,8000,1160985,8000,1160985
AE,UNITED ARAB EMIRATES,12275,951478,12275,951478
US,UNITED STATES,0,321,0,321
VN,VIETNAM,87260,3938132,87260,3938132
SUM,SUM,6836068,123401832,6836068,123401832
