"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,182000,26071186
BD,BANGLADESH,0,0,3000,162146
CN,CHINA,2314000,14322323,11165940,77614753
IN,INDIA,0,0,189418,6676610
ID,INDONESIA,0,0,8000,565108
JP,JAPAN,96000,4126146,1253625,51413531
KR,"KOREA,REPUBLIC OF",0,0,225,21755
LA,LAO PDR,0,0,3000,112326
MY,MALAYSIA,0,0,20000,862422
LK,SRI LANKA,0,0,25,8277
AE,UNITED ARAB EMIRATES,0,0,16,493
US,UNITED STATES,0,0,28200,4078316
VN,VIETNAM,0,0,2300,212848
SUM,SUM,2410000,18448469,12855749,167799771
