"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,872,297000
CN,CHINA,0,0,64,5800
DE,GERMANY,587,58,2587,60992
HK,HONG KONG,0,0,133,20228
IN,INDIA,96000,4478483,405300,17258467
JP,JAPAN,66,10114,332,32551
KE,KENYA,15000,976716,75000,4983740
LA,LAO PDR,52,9902,31512,1869415
MY,MALAYSIA,0,0,104,146976
SG,SINGAPORE,11000,742916,15500,1048181
LK,SRI LANKA,6000,323242,6000,323242
CH,SWITZERLAND,3,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49200,3689228
AE,UNITED ARAB EMIRATES,0,0,33,5057
GB,UNITED KINGDOM,0,0,232,35399
SUM,SUM,128708,6541431,586872,29776276
