"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AO,ANGOLA,104000,2347977,104000,2347977
AU,AUSTRALIA,35000,1019158,35000,1019158
BE,BELGIUM,168000,16011540,168000,16011540
KH,CAMBODIA,27407,4150804,27407,4150804
CN,CHINA,56610,4557978,56610,4557978
HK,HONG KONG,200,22044,200,22044
IN,INDIA,412255,29376250,412255,29376250
ID,INDONESIA,249530,17844156,249530,17844156
JP,JAPAN,43832,3118511,43832,3118511
LA,LAO PDR,36,10879,36,10879
MY,MALAYSIA,32220,3179749,32220,3179749
PK,PAKISTAN,50,741,50,741
PH,PHILIPPINES,38625,2915952,38625,2915952
SA,SAUDI ARABIA,73600,4359236,73600,4359236
SG,SINGAPORE,3050,679882,3050,679882
LK,SRI LANKA,110,21808,110,21808
TW,"TAIWAN, PROVINCE OF CHINA",46000,4214834,46000,4214834
AE,UNITED ARAB EMIRATES,30000,652581,30000,652581
US,UNITED STATES,10000,487400,10000,487400
VN,VIETNAM,17239,1371689,17239,1371689
SUM,SUM,1347764,96343169,1347764,96343169
