"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AU,AUSTRALIA,17000,829710,261510,13579803
BD,BANGLADESH,340000,16132881,6076000,282882808
KH,CAMBODIA,0,0,8140,643750
CL,CHILE,0,0,34000,1908993
CN,CHINA,9485000,475059819,56361200,2784255221
HK,HONG KONG,24000,828000,29000,1123352
IN,INDIA,2311000,110201765,14037025,645026795
ID,INDONESIA,240000,11709166,2121450,110179446
JP,JAPAN,24000,1584000,70250,4059122
KE,KENYA,0,0,204000,9421590
KR,"KOREA,REPUBLIC OF",0,0,200,7776
LA,LAO PDR,18,40114,189,383283
MY,MALAYSIA,0,0,82150,4087526
MU,MAURITIUS,0,0,6000,350935
PK,PAKISTAN,0,0,815000,35907645
PH,PHILIPPINES,0,0,41000,2285408
SG,SINGAPORE,0,0,4974,462272
LK,SRI LANKA,13000,664836,601776,31734761
TW,"TAIWAN, PROVINCE OF CHINA",24000,1146638,65000,3130047
US,UNITED STATES,32000,1709275,187000,10368781
VN,VIETNAM,128000,6438623,1471000,76189860
SUM,SUM,12638018,626344827,82476864,4017989174
