"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
CN,CHINA,256000,22089433,729450,44156238
HK,HONG KONG,1150,86840,244150,10468452
IN,INDIA,0,0,600,26547
ID,INDONESIA,9400,816668,338200,16407429
JP,JAPAN,0,0,100,2847
KR,"KOREA,REPUBLIC OF",28000,3649775,99000,13357455
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,23200,2079964,54200,4705424
PH,PHILIPPINES,0,0,86400,5790444
TW,"TAIWAN, PROVINCE OF CHINA",0,0,8000,1040820
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,60000,4109648,288675,18096093
SUM,SUM,377750,32832328,1873575,115425806
