"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
AU,AUSTRALIA,681730,27915669,3705240,154398804
BD,BANGLADESH,501250,20388769,1349000,56109863
BE,BELGIUM,0,0,198000,7838285
BR,BRAZIL,0,0,25500,1069091
BN,BRUNEI DARUSSALAM,0,0,30000,1261487
KH,CAMBODIA,102000,3947277,647220,26388641
CM,CAMEROON,371250,15235568,750750,30869399
CA,CANADA,217500,8899951,531000,21745016
CL,CHILE,0,0,68000,2826963
CN,CHINA,9874950,390605221,36783374,1470371899
CG,CONGO,99000,4081915,334000,13745144
CI,COTE D IVOIRE,0,0,51750,2319364
DJ,DJIBOUTI,244000,9520531,1799000,72054763
EG,EGYPT,198000,7445147,891000,34336554
FJ,FIJI,37000,1484952,267000,10832196
PF,FRENCH POLYNESIA,18000,719846,36000,1455151
GM,GAMBIA,0,0,33000,1337352
DE,GERMANY,30000,1806849,64375,3341510
HK,HONG KONG,340500,12893296,1295093,49716177
IN,INDIA,1391700,55007937,6116583,249492409
ID,INDONESIA,1922500,81831937,10524825,455594547
IL,ISRAEL,0,0,3000,201478
IT,ITALY,0,0,75,2539
JP,JAPAN,1543275,66599360,8766805,381838410
KZ,KAZAKHSTAN,34000,1338628,153000,6217253
KE,KENYA,0,0,85500,3785645
KR,"KOREA,REPUBLIC OF",401750,16832769,3038175,127766055
LA,LAO PDR,615005,27673878,2196930,100158736
MY,MALAYSIA,609962,26817052,2805412,124914090
MU,MAURITIUS,0,0,71000,3003337
MX,MEXICO,24000,890524,24000,890524
MZ,MOZAMBIQUE,34000,1397840,706000,28766431
MM,MYANMAR,89700,3678537,1712454,68963662
NC,NEW CALEDONIA,18000,714265,54000,2196948
NZ,NEW ZEALAND,171000,6791801,703850,28686865
PG,PAPUA NEW GUINEA,35000,1421710,204000,8377581
PY,PARAGUAY,0,0,25500,1095944
PE,PERU,51000,2072543,178500,7621126
PH,PHILIPPINES,480000,19945826,2061500,86536690
PT,PORTUGAL,450000,16469335,1825000,69900387
RE,REUNION,43000,1802353,91000,3886450
RU,RUSSIAN FEDERATION,1000,52082,1000,52082
SG,SINGAPORE,42750,1760382,157852,6620645
ZA,SOUTH AFRICA,68250,2820373,643250,26889194
LK,SRI LANKA,86250,3728112,508100,21634041
CH,SWITZERLAND,0,0,50,14872
TW,"TAIWAN, PROVINCE OF CHINA",1556750,62070343,5752600,229741439
TZ,TANZANIA UNITED REPUBLIC OF,0,0,60000,2648841
TR,TÜRKIYE,4000,241964,4000,241964
UA,UKRAINE,67200,2576378,67200,2576378
AE,UNITED ARAB EMIRATES,0,0,318000,13016024
US,UNITED STATES,18133,1651971,230308,10797023
VN,VIETNAM,3698080,144179435,16242494,657901860
SUM,SUM,26171485,1055312326,114191265,4694049129
