"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'FOB (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'FOB (Baht)')"
AU,AUSTRALIA,13300,1637114,90425,6559856
BD,BANGLADESH,5000,745148,5000,745148
CN,CHINA,6600,487725,38045,3413027
EG,EGYPT,3000,229433,3000,229433
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,10700,1223243,114465,9135715
ID,INDONESIA,0,0,1580,184886
JP,JAPAN,0,0,20709,1839248
KR,"KOREA,REPUBLIC OF",80,13729,21580,1388098
MY,MALAYSIA,14180,1035865,22545,1567339
MM,MYANMAR,0,0,600,79152
NZ,NEW ZEALAND,12000,1564552,12750,1657791
PH,PHILIPPINES,2700,191834,184450,7973324
LK,SRI LANKA,0,0,2200,178994
TW,"TAIWAN, PROVINCE OF CHINA",2000,122431,30925,1111051
US,UNITED STATES,0,0,0,31
VN,VIETNAM,0,0,8120,639555
SUM,SUM,69560,7251074,590454,37711667
