"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
CN,CHINA,0,0,1550,762801
IN,INDIA,166,102322,702,433180
ID,INDONESIA,0,0,90300,4710642
JP,JAPAN,0,0,817,52893
NO,NORWAY,0,0,895,10211
ZA,SOUTH AFRICA,0,0,20000,610550
TW,"TAIWAN, PROVINCE OF CHINA",8000,412326,76000,2336400
GB,UNITED KINGDOM,0,0,6,32
VN,VIETNAM,0,0,24000,666198
SUM,SUM,8166,514648,214270,9582907
