"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AU,AUSTRALIA,30000,1418916,30000,1418916
BD,BANGLADESH,861000,39008183,1269000,56698822
CN,CHINA,4387000,209197637,23427725,1086021724
IN,INDIA,2367000,108269172,6551025,292982172
ID,INDONESIA,155000,7327607,320160,14996794
JP,JAPAN,2,619,13852,997771
MY,MALAYSIA,18728,1007720,40728,2287758
PK,PAKISTAN,21000,979779,70000,3202106
PH,PHILIPPINES,0,0,3060,195912
SG,SINGAPORE,12200,588456,12400,595640
LK,SRI LANKA,0,0,75,2994
TW,"TAIWAN, PROVINCE OF CHINA",17000,791312,17000,791312
US,UNITED STATES,64000,2970902,98000,4508455
UZ,UZBEKISTAN,96000,4575190,96000,4575190
VN,VIETNAM,151500,7713359,288516,14390386
SUM,SUM,8180430,383848852,32237541,1483665952
