"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'FOB (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'FOB (Baht)')"
AU,AUSTRALIA,14000,1091881,155200,5606707
AT,AUSTRIA,0,0,2250,92315
BD,BANGLADESH,0,0,31089,2004408
BE,BELGIUM,72000,7171460,1608000,165359764
KH,CAMBODIA,54756,8694378,86066,13763784
CN,CHINA,125360,9454561,2268605,109891626
CI,COTE D IVOIRE,0,0,16250,395016
EG,EGYPT,0,0,48625,3040187
FR,FRANCE,520,52000,520,52000
GA,GABON,0,0,32000,751008
DE,GERMANY,0,0,1,31
GH,GHANA,16250,421265,97500,2534790
HK,HONG KONG,0,0,100792,3306808
IN,INDIA,665400,49444650,7297535,545510900
ID,INDONESIA,334675,24376413,3160863,237006767
JP,JAPAN,1802,122199,774986,52808022
KR,"KOREA,REPUBLIC OF",0,0,167017,13818288
LA,LAO PDR,30027,1298319,105470,4760600
MY,MALAYSIA,47325,3528191,412880,40481917
MV,MALDIVES,0,0,8,18357
MU,MAURITIUS,16250,489721,129700,3388234
MZ,MOZAMBIQUE,0,0,130000,3022209
MM,MYANMAR,0,0,32037,1155530
NP,NEPAL,0,0,52000,1786272
PK,PAKISTAN,0,0,40085,1911938
PH,PHILIPPINES,4250,419228,356375,30336179
QA,QATAR,2360,397032,8960,1539444
SA,SAUDI ARABIA,0,0,48450,3742010
SG,SINGAPORE,0,0,523,118626
SK,SLOVAKIA,0,0,2,323
ZA,SOUTH AFRICA,0,0,89216,2009878
LK,SRI LANKA,16000,378490,122000,3296977
TW,"TAIWAN, PROVINCE OF CHINA",67700,6102276,483705,41182429
TG,TOGO,16000,422561,48500,1288096
AE,UNITED ARAB EMIRATES,0,0,105000,2576634
US,UNITED STATES,16000,1023329,98173,6094032
VN,VIETNAM,134140,8248512,1013856,61876932
SUM,SUM,1634815,123136466,19124239,1366529038
