"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,10000,895630
CN,CHINA,49320,5269898,216445,22239312
IN,INDIA,448175,31917966,1277800,94581844
ID,INDONESIA,19000,1739219,179000,13679605
JP,JAPAN,0,0,2225,146271
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,1000,64371,84800,7956200
PH,PHILIPPINES,24500,2348782,44175,3896955
SUM,SUM,541995,41340236,1818095,143902969
