"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
AU,AUSTRALIA,200,14396,200,14396
KH,CAMBODIA,0,0,500,26500
CN,CHINA,0,0,1000,156688
JP,JAPAN,0,0,19800,1940852
KR,"KOREA,REPUBLIC OF",0,0,140,13107
LA,LAO PDR,7000,331775,9500,447649
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,1588286
VN,VIETNAM,0,0,1100,103206
SUM,SUM,7200,346171,52240,4290684
