"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
BD,BANGLADESH,578000,27582395,578000,27582395
CN,CHINA,8277000,406806179,8277000,406806179
IN,INDIA,932500,44752621,932500,44752621
ID,INDONESIA,67000,3318945,67000,3318945
LA,LAO PDR,18,41810,18,41810
MY,MALAYSIA,1050,54338,1050,54338
PK,PAKISTAN,33000,1622169,33000,1622169
PH,PHILIPPINES,12500,965278,12500,965278
AE,UNITED ARAB EMIRATES,150,75416,150,75416
US,UNITED STATES,30000,1508316,30000,1508316
VN,VIETNAM,17195,880421,17195,880421
SUM,SUM,9948413,487607888,9948413,487607888
