"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AU,AUSTRALIA,7500,666943,187250,8582049
BR,BRAZIL,48000,3803624,216000,17305122
CN,CHINA,44600,3922714,411766,36942986
EG,EGYPT,0,0,1300,64461
GH,GHANA,32500,788446,130000,3153152
HK,HONG KONG,0,0,10000,958620
IN,INDIA,446475,37212158,1996698,169505124
ID,INDONESIA,258250,20841706,1120007,92494095
JP,JAPAN,2155,285325,8831,885012
KR,"KOREA,REPUBLIC OF",13260,1169644,27610,2633912
MG,MADAGASCAR,0,0,33000,960022
MY,MALAYSIA,20300,2049128,182075,17526936
MM,MYANMAR,2500,221500,5500,678007
NZ,NEW ZEALAND,250,44152,250,44152
PH,PHILIPPINES,21500,2113617,71861,7439976
RU,RUSSIAN FEDERATION,1984,413325,1984,413325
SG,SINGAPORE,24750,1220434,25650,1229572
ZA,SOUTH AFRICA,0,103,25600,1605272
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",43400,4050545,120020,11603278
AE,UNITED ARAB EMIRATES,60000,1447367,96000,3736057
US,UNITED STATES,18000,1098546,50300,3107394
VN,VIETNAM,96326,6340658,281751,23183435
SUM,SUM,1141750,87689935,5019549,404494478
