"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,17000,703951
AR,ARGENTINA,0,0,717250,55645027
AU,AUSTRALIA,85000,3536289,1921665,81430498
AT,AUSTRIA,0,0,900,56997
BD,BANGLADESH,451000,18574654,5200505,234240163
BE,BELGIUM,102000,8534227,832000,64915933
BR,BRAZIL,313000,14038234,1751700,75641101
KH,CAMBODIA,422200,15227678,2586810,99841638
CA,CANADA,0,0,700,29196
CN,CHINA,4873728,180610508,38524020,1532118211
CO,COLOMBIA,33000,1374462,66500,2756401
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",0,0,255000,10692152
DJ,DJIBOUTI,198000,6894571,825000,29864956
EC,ECUADOR,0,0,750,32079
EG,EGYPT,0,0,80,2851
ET,ETHIOPIA,0,0,33100,1335977
FJ,FIJI,0,0,39000,1555779
FR,FRANCE,16000,2634435,16000,2634435
PF,FRENCH POLYNESIA,0,0,60000,2357998
DE,GERMANY,300,13050,7080,201496
GH,GHANA,0,0,81250,2134039
HK,HONG KONG,2105000,77889973,14384308,548689029
IN,INDIA,876875,29665541,5910025,219281612
ID,INDONESIA,9614092,354389648,68601513,2737648518
IL,ISRAEL,0,0,72050,3261296
JP,JAPAN,686878,26633438,5086673,211364847
KE,KENYA,0,0,84300,3590926
KR,"KOREA,REPUBLIC OF",300,4047,139860,12019479
LA,LAO PDR,31000,927027,430975,17796342
MG,MADAGASCAR,66000,1990786,1287000,36892001
MW,MALAWI,0,0,81000,2063090
MY,MALAYSIA,1734265,64102409,9200741,373981047
MU,MAURITIUS,128000,5188669,500500,21289970
MX,MEXICO,12000,434641,65000,2657658
MZ,MOZAMBIQUE,0,0,269000,9613744
MM,MYANMAR,1179150,42273517,3453250,129413078
NL,NETHERLANDS,0,0,2000,882557
NC,NEW CALEDONIA,0,0,2000,76584
NZ,NEW ZEALAND,34000,1275155,343675,11863451
NG,NIGERIA,0,0,119000,4528844
OM,OMAN,0,0,136000,5687473
PK,PAKISTAN,21600,952225,864300,44642765
PG,PAPUA NEW GUINEA,0,0,33000,1308777
PH,PHILIPPINES,323500,12745522,7815950,319628410
PT,PORTUGAL,10500,396618,17000,681706
RU,RUSSIAN FEDERATION,2050,86420,2075,87576
SG,SINGAPORE,68200,2550630,629671,25969948
ZA,SOUTH AFRICA,45000,2370802,897475,63411851
LK,SRI LANKA,41250,1427833,588050,33061511
SD,SUDAN,50,4116,34050,1338377
CH,SWITZERLAND,0,0,800,38400
TW,"TAIWAN, PROVINCE OF CHINA",25025,1035821,190784,8336226
TZ,TANZANIA UNITED REPUBLIC OF,0,0,24000,1054918
TR,TÜRKIYE,0,0,104925,3930351
AE,UNITED ARAB EMIRATES,0,0,511500,21035404
GB,UNITED KINGDOM,3790,792000,4090,834000
US,UNITED STATES,91700,3611778,606576,49105984
VN,VIETNAM,2876825,107908682,19212625,761376363
SUM,SUM,26471278,990095406,194642051,7886634991
