"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AU,AUSTRALIA,701550,30364529,6889030,359612191
BD,BANGLADESH,331500,13139454,1755500,84385047
BE,BELGIUM,198000,16078860,1377000,92660389
KH,CAMBODIA,0,0,34300,2236754
CM,CAMEROON,0,0,16500,719762
CN,CHINA,23562170,1775621289,469823049,33600673793
FJ,FIJI,0,0,75000,3767919
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,0,0,190100,19618977
IN,INDIA,1663840,122975150,24429010,1694418849
ID,INDONESIA,4312460,188912741,72225565,3542468994
IR,IRAN (ISLAMIC REPUBLIC OF),148500,6915831,569250,30824219
JP,JAPAN,6081600,328850150,76194350,4441567731
KZ,KAZAKHSTAN,31000,1268744,172000,8096412
KR,"KOREA,REPUBLIC OF",356600,33156372,6348400,547597034
LA,LAO PDR,50,1751,50,1751
LT,LITHUANIA,0,0,192000,8286077
MY,MALAYSIA,566750,30554947,11174320,587247852
MM,MYANMAR,225000,8934500,2586950,117920337
NZ,NEW ZEALAND,219310,9621699,2834500,154749632
PK,PAKISTAN,167100,9942026,884250,54778930
PH,PHILIPPINES,612000,25092623,12387825,584797407
PT,PORTUGAL,0,0,492000,25973162
RE,REUNION,3000,132969,7500,367724
RU,RUSSIAN FEDERATION,227000,8884781,981000,45975040
SG,SINGAPORE,288600,26047016,2246625,174365392
ZA,SOUTH AFRICA,0,0,132000,6217541
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,35500,2002893,552775,26679518
TW,"TAIWAN, PROVINCE OF CHINA",663600,30961260,7847400,425146296
TR,TÜRKIYE,0,0,1449500,60919567
AE,UNITED ARAB EMIRATES,0,0,25750,1217727
US,UNITED STATES,4000,170143,430323,44472074
VN,VIETNAM,847000,84932014,16543440,1186995627
SUM,SUM,41246130,2754561742,720966312,47939956565
