"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'FOB (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'FOB (Baht)')"
AU,AUSTRALIA,166,25285,398,60684
BD,BANGLADESH,0,0,34000,1100792
KH,CAMBODIA,0,0,92779,20483860
CA,CANADA,0,0,0,16
CN,CHINA,0,0,149,22756
DK,DENMARK,66,10114,66,10114
DE,GERMANY,0,32,133,20260
HK,HONG KONG,261,29644,262,29745
IN,INDIA,0,0,32000,1280846
IR,IRAN (ISLAMIC REPUBLIC OF),11800,577240,11800,577240
JP,JAPAN,99,14092,437,57716
KE,KENYA,15000,1064187,45000,3157540
KR,"KOREA,REPUBLIC OF",8,725,107,15896
MY,MALAYSIA,0,0,2000,294979
MM,MYANMAR,420,7720,780,13320
NG,NIGERIA,15000,1064187,30150,2110038
PH,PHILIPPINES,0,0,3,41640
SG,SINGAPORE,187,54642,7146,554340
LK,SRI LANKA,16617,996310,31762,1936261
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1391,23490
US,UNITED STATES,66,10114,66,10114
VN,VIETNAM,0,0,3000,224879
SUM,SUM,59690,3854292,293429,32026526
